country_alpha3,country_name,year,1_1_ffp_x1,1_2_ucdp,1_3_wef_gci_subpillar:_5._security,1_4_political_terror,1_5_ffp_p3,protection,2_1_1_wef_gcr_2nd_pillar:_infrastructure,2_1_2_un:_telecom,"2_2_1_government_expend._on_primary_and_secondary_education,_total_(%_of_gdp)",2_2_2_wef_gcr_indicator_quality_of_primary_education,2_3_1_domestic_general_government_health_expenditure_(%_of_gdp),2_3_2_out_of_pocket_expenditure_(%_of_total_national_health_care_spending),2_4_1_public_social_protection_(excl._health)_expenditure_(%_of_gdp),2_4_2_coverage_of_older_persons_by_sp_benefits,2_5_1_public_expenditure_on_socials_safety_nets_(%_of_gdp),2_5_2_vulnerable_persons_covered_by_social_assistance,2_6_1_share_of_wage_employment_on_work_age_pop,2_6_2_working_poverty_head_count_rate_(percentage_of_persons_living_in_poverty_in_spite_of_being_employed),2_7_1_wef_gci_subpillar:_1._property_rights,2_7_2_wef_gci_subpillars_2_and_3._ethics_and_corruption;_undue_influence,2_8_1_wef_gci_subpillar:_1._domestic_competition,2_8_2_wef_gci_subpillar:_4._government_efficiency,provision,3_1_v_dem_index_on_electoral_democracy,3_2_wb_voice_and_accountability_indicator,participation
BGD,Bangladesh,2007,0.4099999999999999,0.9746857123558325,0.57,0.25,0.21999999999999997,0.4099999999999999,0.31285714285714283,0.02458,0.363936,0.3071428571428571,0.11705063600000001,0.3418367766999999,0.1166,,0.15263291597366332,0.043,0.3883121,0.8384,0.4442857142857143,0.2928571428571428,0.5757142857142857,0.4185714285714286,0.3033985625063897,0.207,0.40321956280000004,0.3051097814
BRB,Barbados,2007,0.49,1.0,0.92,,0.7,0.81,0.6814285714285714,0.44639,0.675704,0.8071428571428572,0.659582614,0.6315778351000001,0.9682999999999999,,,,0.8324584,1.0,0.7342857142857142,0.6935714285714286,0.5757142857142857,0.6528571428571429,0.7376652035071428,0.767,0.713036418,0.740018209
BLR,Belarus,2007,0.29000000000000004,1.0,,0.75,0.15000000000000002,0.52,,0.2823,,,0.79894929,0.7420606041,1.0,,0.4764913558959961,,0.9606745999999999,0.999,,,,,0.7018267205891993,0.223,0.184697938,0.203848969
BEL,Belgium,2007,0.8,1.0,0.9316666666666668,0.75,0.85,0.85,0.8071428571428572,0.52224,,0.8885714285714286,1.0,0.7915762138,1.0,1.0,,1.0,0.8492064,1.0,0.8471428571428571,0.6514285714285715,0.7028571428571428,0.5557142857142857,0.8440281990767858,0.886,0.7769571303999999,0.8314785652
BEN,Benin,2007,0.33999999999999997,1.0,0.7050000000000002,0.75,0.52,0.7050000000000002,0.33714285714285713,0.03629,0.399214,0.47714285714285715,0.11918891599999999,0.5099876404,0.3252,,0.08042626976966857,,0.10146269999999999,0.5238,0.5214285714285715,0.4135714285714286,0.5657142857142857,0.47714285714285715,0.3308336658176371,0.665,0.5851700425999999,0.6250850213
BOL,Bolivia,2007,0.4099999999999999,1.0,0.6816666666666668,0.5,0.30000000000000004,0.5,0.31714285714285717,0.07246,,0.31857142857142856,0.555108548,0.6923806381,0.8464155095000001,,0.43673019409179686,0.344,0.3982927,0.9185,0.39142857142857146,0.3092857142857143,0.4928571428571429,0.3828571428571429,0.4775635865566301,0.73,0.5221890106,0.6260945053
BIH,Bosnia and Herzegovina,2007,0.11999999999999988,1.0,0.7550000000000001,0.75,0.47,0.75,0.3228571428571428,0.18873,,0.5285714285714286,1.0,0.5572933197,,,0.5581679344177246,,0.7457097,0.9998,0.41714285714285715,0.3757142857142857,0.5042857142857142,0.35428571428571426,0.5456641042831443,0.594,0.5393442274,0.5666721136999999
BWA,Botswana,2007,0.3999999999999999,1.0,0.8100000000000002,0.75,0.52,0.75,0.5499999999999999,0.10816,1.0,0.5399999999999999,0.604618884,0.9322737741,0.767,,0.6190918445587158,0.084,0.6917339,0.885,0.6128571428571429,0.6128571428571429,0.53,0.5971428571428571,0.6188584715947412,0.727,0.6121670962,0.6695835481
BRA,Brazil,2007,0.54,1.0,0.6200000000000001,0.25,0.47,0.54,0.4385714285714285,0.21812,0.738506,0.31285714285714283,0.6969262119999999,0.6690587996999999,1.0,,0.25544664859771726,0.37,0.6986615,0.9773,0.5828571428571429,0.3385714285714286,0.51,0.35571428571428576,0.5726619118043216,0.873,0.617803359,0.7454016795
BRN,Brunei Darussalam,2007,0.53,1.0,0.9900000000000001,0.75,0.3400000000000001,0.75,0.6357142857142857,0.26525,0.30831200000000003,0.67,0.342161012,0.8721500015,0.2545,,,,0.9189642,,0.6328571428571428,0.6242857142857143,0.5671428571428572,0.6028571428571429,0.5619756111683674,,0.30892163520000004,0.30892163520000004
BGR,Bulgaria,2007,0.44999999999999996,1.0,0.6250000000000001,0.75,0.53,0.6250000000000001,0.4157142857142857,0.30707,0.502802,0.5257142857142857,0.6868579859999999,0.5740729903999999,1.0,1.0,0.21473228931427002,0.28800000000000003,0.8786179,1.0,0.4957142857142857,0.3428571428571429,0.5628571428571428,0.41428571428571426,0.5755810014285705,0.718,0.6475322604,0.6827661302
BFA,Burkina Faso,2007,0.29999999999999993,1.0,0.7400000000000001,0.75,0.3400000000000001,0.7400000000000001,0.3385714285714286,0.0126,0.62375,0.4557142857142857,0.286425566,0.7260652732999999,0.5193,,0.3697366714477539,0.036000000000000004,0.1130221,0.49970000000000003,0.6071428571428571,0.40499999999999997,0.5971428571428571,0.5271428571428571,0.41478836852887746,0.564,0.4547105908,0.5093552954
BDI,Burundi,2007,0.09999999999999998,0.43751395012223393,0.6433333333333334,0.25,0.25,0.25,0.2714285714285714,0.00624,0.615048,0.3671428571428571,0.492767048,0.6429296494,0.42299999999999993,,0.4891377925872803,,0.13249180000000002,0.2633,0.40714285714285714,0.32142857142857145,0.4714285714285714,0.4428571428571429,0.39115504087519576,0.408,0.37606356139999997,0.3920317807
KHM,Cambodia,2007,0.3599999999999999,1.0,0.6716666666666667,0.5,0.29000000000000004,0.5,0.38285714285714284,0.02032,0.306722,0.37142857142857144,0.194398784,0.5131644058,0.057279000000000004,,0.17919692993164063,,0.39416890000000004,0.6409,,0.38499999999999995,0.5728571428571428,0.48,0.3199855504253837,0.319,0.334725976,0.326862988
CMR,Cameroon,2007,0.29999999999999993,1.0,0.7316666666666667,0.5,0.28,0.5,0.29428571428571426,0.0635,0.49073,0.42857142857142855,0.121577036,0.24942001340000008,0.19160000000000002,,0.0061492912471294405,0.002,0.2181795,0.7082999999999999,0.5242857142857142,0.2842857142857143,0.5514285714285714,0.40285714285714286,0.2955481328975884,0.331,0.31123460540000003,0.32111730270000005
CAN,Canada,2007,0.85,1.0,0.92,0.75,0.8,0.85,0.8642857142857142,0.69657,,0.7928571428571428,1.0,0.8440486145,1.0,0.9209999999999999,,0.99,0.8456556000000001,1.0,0.8485714285714286,0.6714285714285715,0.75,0.6428571428571429,0.8531332098348214,0.834,0.7815751792000001,0.8077875896
CAF,Central African Republic,2007,0.09999999999999998,0.7132698554531525,,0.25,0.18000000000000005,0.21500000000000002,,0.00454,0.215578,,0.254329968,0.49396430969999994,0.07388968804159445,,0.5165109157562255,,0.059616239999999994,0.3919,,,,,0.23507064377463668,0.342,0.30471901900000004,0.32335950950000003
TCD,Chad,2007,0.09999999999999998,0.16259936840886025,0.5133333333333333,0.25,0.08000000000000007,0.16259936840886025,0.23285714285714282,0.00748,0.275468,0.31428571428571433,0.20455858799999999,0.35081733700000006,0.2044,,0.14949174,,0.09506622,0.6477999999999999,0.34714285714285714,0.2657142857142857,0.43285714285714283,0.35285714285714287,0.26466799441964284,0.272,0.23360776900000002,0.2528038845
CHL,Chile,2007,0.7,1.0,0.9233333333333335,0.75,0.63,0.75,0.6514285714285714,0.26821,0.450182,0.38,0.521928596,0.6081272507,1.0,0.406,0.728474760055542,0.188,0.7457682,0.9971,0.7042857142857143,0.5828571428571429,0.7114285714285715,0.6385714285714286,0.5988976397079356,0.892,0.727514553,0.8097572765000001
CHN,China,2007,0.69,0.9988254566401079,0.7316666666666667,0.25,0.09999999999999998,0.69,0.5671428571428572,0.15999,,0.5928571428571429,0.286835098,0.4870878983,0.2694122851899457,,0.24880714416503907,,0.4759652,0.8694999999999999,0.5742857142857142,0.4571428571428572,0.6,0.5214285714285715,0.4513457087952659,0.094,0.18145258420000002,0.1377262921
COL,Colombia,2007,0.29999999999999993,0.4704113224495384,0.57,0.25,0.26,0.29999999999999993,0.41,0.17007,0.591529,0.4985714285714286,0.917212486,0.8075147629,0.967,,0.6890779495239258,0.141,0.4763584,0.9492,0.6,0.41857142857142854,0.5314285714285715,0.49714285714285716,0.6019798052586381,0.583,0.4820872978,0.5325436488999999
ZAR,"Congo, Dem. Rep.",2007,0.040000000000000036,0.5429873998921958,,0.0,0.10999999999999999,0.07500000000000001,,0.00996,0.204562,,0.048650098,0.364275856,0.1732,,0.13607640266418458,0.055999999999999994,0.182354,0.15659999999999996,,,,,0.1432833630553487,0.364,0.2799496412,0.3219748206
COG,"Congo, Rep.",2007,0.2599999999999999,1.0,,0.75,0.20999999999999996,0.5049999999999999,,0.02128,0.251298,,0.11730367,0.5084323882999999,,,0.007603468000888824,,0.24096820000000002,0.6052,,,,,0.20322671943017773,0.255,0.2755990506,0.2652995253
CRI,Costa Rica,2007,0.55,1.0,0.7566666666666667,0.75,0.65,0.75,0.38285714285714284,0.22827,0.6449239999999999,0.5557142857142857,0.9264800080000001,0.6908752823,0.9885653007,,0.2732069492340088,0.665,0.7449859,0.9952,0.6157142857142857,0.5357142857142857,0.5871428571428572,0.52,0.6464509748798041,0.912,0.6947572587999999,0.8033786294
CIV,Cote d'Ivoire,2007,0.019999999999999907,1.0,0.5066666666666667,0.25,0.08000000000000007,0.25,0.4757142857142857,0.03909,0.610706,0.43571428571428567,0.11766005799999998,0.36662338259999994,0.1753,,0.002,,0.23428149999999998,0.6836,0.44,0.26285714285714284,0.5457142857142857,0.39428571428571424,0.3100529159303571,0.431,0.2817641258,0.35638206289999996
HRV,Croatia,2007,0.42999999999999994,1.0,0.8333333333333335,1.0,0.55,0.8333333333333335,0.5642857142857143,0.36832,,0.6785714285714286,1.0,0.8760576439,1.0,,0.6454290390014649,,0.8192241,1.0,0.5814285714285715,0.455,0.58,0.47285714285714286,0.7103233817260759,0.781,0.6141132712,0.6975566356
CYP,Cyprus,2007,0.08000000000000007,1.0,0.9266666666666667,0.75,0.65,0.75,0.7014285714285714,0.42744,0.9068759999999999,0.7042857142857143,0.46248521800000003,0.5120238495,1.0,0.914,,0.24100000000000002,0.8244176,1.0,0.7271428571428571,0.6035714285714285,0.6542857142857142,0.6114285714285714,0.6582115952901786,0.848,0.7201285124,0.7840642562
CZE,Czech Republic,2007,0.6599999999999999,1.0,0.8583333333333334,0.75,0.65,0.75,0.6028571428571428,0.42792,0.512578,0.7742857142857142,1.0,0.8636897469,1.0,1.0,0.15703710317611694,,0.8213715,1.0,0.6214285714285713,0.42071428571428576,0.6585714285714286,0.42857142857142855,0.6528788765425504,0.907,0.7063381196,0.8066690598
DNK,Denmark,2007,0.8,1.0,1.0,1.0,0.85,1.0,0.8714285714285713,0.74414,0.938044,0.7885714285714285,1.0,0.8543817425,1.0,0.968,1.0,0.637,0.9087215000000001,1.0,0.9285714285714286,0.8814285714285715,0.7728571428571429,0.7657142857142858,0.8786786669419643,0.919,0.799550867,0.8592754335
DOM,Dominican Republic,2007,0.44000000000000006,1.0,0.68,0.5,0.30000000000000004,0.5,0.4342857142857143,0.1472,0.288928,0.2742857142857143,0.336957622,0.5231032180999999,0.503,,0.3186408519744873,,0.5518687,0.9822,0.5557142857142857,0.33428571428571424,0.49714285714285716,0.42,0.4368283456102037,0.609,0.5520953655999999,0.5805476828
ECU,Ecuador,2007,0.44999999999999996,1.0,0.66,0.5,0.3400000000000001,0.5,0.3771428571428571,0.15185,0.408948,0.3071428571428571,0.40911545800000004,0.4461290741,0.21200000000000002,,0.29986422061920165,0.113,0.548261,0.9449,0.44571428571428573,0.26999999999999996,0.5014285714285714,0.3442857142857143,0.37448637740209295,0.672,0.4828999206,0.5774499603000001
EGY,"Egypt, Arab Rep.",2007,0.24,1.0,0.8383333333333334,0.25,0.15000000000000002,0.25,0.5057142857142857,0.08861,,0.3057142857142857,0.313711882,0.3967250443,0.838278886928301,,0.613902997970581,,0.6114088,0.9824,0.6485714285714286,0.53,0.6057142857142858,0.5157142857142857,0.5446476470775389,0.213,0.2884001256,0.2507000628
SLV,El Salvador,2007,0.44999999999999996,1.0,0.5033333333333334,0.5,0.30999999999999994,0.5,0.5685714285714285,0.13884,0.49912,0.4228571428571429,0.830225944,0.6460525513,0.5237354033999999,,0.2819554805755615,,0.5809536,0.9623,0.5757142857142857,0.4485714285714285,0.62,0.5242857142857142,0.5268046164531952,0.565,0.5322914510000001,0.5486457255
EST,Estonia,2007,0.6699999999999999,1.0,0.9133333333333334,0.75,0.63,0.75,0.6257142857142857,0.59577,0.633418,0.7457142857142857,0.748228074,0.773494854,1.0,1.0,0.6228785037994384,0.917,0.9086194000000001,1.0,0.76,0.5864285714285714,0.7085714285714285,0.6428571428571429,0.7667934091303221,0.867,0.7213564634,0.7941782317
SWZ,Eswatini,2007,,1.0,0.8733333333333334,0.5,,0.8733333333333334,0.46571428571428564,0.05841,0.924364,0.58,0.750821018,0.8786417675,,,0.30091,,0.6682908000000001,0.6801,0.6171428571428572,0.4635714285714286,0.5242857142857142,0.5071428571428571,0.5514503377397959,0.133,0.25285995,0.192929975
ETH,Ethiopia,2007,0.32999999999999996,0.7762660666660195,0.8300000000000002,0.25,0.15000000000000002,0.32999999999999996,0.3628571428571428,0.00402,0.515454,0.3685714285714286,0.26661357799999996,0.6300376511000001,0.45499999999999996,,0.20459775924682616,0.08,0.1181665,0.6484000000000001,0.5342857142857144,0.4257142857142857,0.5728571428571428,0.49714285714285716,0.38366987873596237,0.247,0.28145208359999996,0.2642260418
FJI,Fiji,2007,0.47,1.0,,0.5,0.4099999999999999,0.485,,0.09822,0.8838480000000001,,0.49363637000000005,0.8441288757000001,0.2333,,0.14481496810913086,,0.5725371,0.9948,,,,,0.4687890234931884,0.143,0.38838886019999996,0.2656944301
FIN,Finland,2007,0.8,1.0,1.0,1.0,0.85,1.0,0.8342857142857142,0.62456,0.7447699999999999,0.9271428571428572,1.0,0.8100172234,1.0,1.0,,1.0,0.8656165,1.0,0.9114285714285714,0.8678571428571428,0.7514285714285714,0.7714285714285715,0.8817834469982143,0.882,0.7961738586,0.8390869293000001
FRA,France,2007,0.8,1.0,0.92,0.75,0.6799999999999999,0.8,0.9228571428571428,0.59921,,0.7699999999999999,1.0,0.904715929,1.0,1.0,1.0,1.0,0.8872754999999999,1.0,0.8585714285714285,0.6514285714285715,0.7028571428571428,0.5928571428571429,0.8537358035982143,0.884,0.7574412108,0.8207206054
GAB,Gabon,2007,0.42000000000000004,1.0,0.87,0.5,0.32999999999999996,0.5,0.3871428571428571,0.09734,0.356288,0.3685714285714286,0.24669396799999999,0.4948414993,,,0.03960685729980469,,0.6655548,0.953,0.6114285714285714,0.4321428571428571,0.5214285714285715,0.5528571428571428,0.41189310074793134,0.359,0.3466107606,0.35280538029999997
GMB,"Gambia, The",2007,0.3799999999999999,1.0,0.89,0.5,0.32000000000000006,0.5,0.44857142857142857,0.05304,0.12823600000000002,0.4985714285714286,0.137280596,0.8684653759000001,0.2959,,,0.005,0.2555193,0.78,0.5685714285714286,0.5428571428571428,0.5700000000000001,0.6014285714285714,0.37839632949375,0.244,0.3417583704,0.2928791852
GEO,Georgia,2007,0.18000000000000005,0.2405965397136004,0.8666666666666667,0.5,0.45999999999999996,0.45999999999999996,0.4171428571428571,0.10717,0.426074,0.43714285714285717,0.21864805199999998,0.2432640076,0.715776714670677,,1.0,0.12,0.4259042,0.8991,0.4471428571428571,0.4342857142857143,0.5842857142857143,0.4985714285714286,0.480642819844549,0.552,0.46951095460000003,0.5107554773
DEU,Germany,2007,0.79,1.0,1.0,1.0,0.71,1.0,0.95,0.61644,0.531188,0.7000000000000001,1.0,0.8558776569,1.0,0.711,1.0,,0.8880397999999999,1.0,0.9442857142857143,0.7878571428571429,0.74,0.6814285714285714,0.8378823053419643,0.901,0.77226336,0.83663168
GHA,Ghana,2007,0.53,1.0,0.8666666666666667,0.75,0.55,0.75,0.4257142857142857,0.04092,0.780042,0.4628571428571429,0.32958667199999997,0.6153096771,0.6557000000000001,,0.08870990872383118,0.033,0.23755880000000001,0.8526,0.5771428571428572,0.4414285714285714,0.5942857142857143,0.5285714285714286,0.4574454411139895,0.733,0.6101222157999999,0.6715611078999999
GRC,Greece,2007,0.6299999999999999,1.0,0.9433333333333335,0.5,0.61,0.6299999999999999,0.6257142857142857,0.33561,,0.5342857142857144,1.0,0.6577662277,1.0,,1.0,,0.6301051,1.0,0.6900000000000001,0.525,0.5842857142857143,0.5028571428571429,0.7262443686955358,0.891,0.7041335106,0.7975667553
GTM,Guatemala,2007,0.47,1.0,0.5116666666666666,0.25,0.29000000000000004,0.47,0.47142857142857136,0.12366,0.46107000000000004,0.3485714285714286,0.39577279,0.38376289370000005,0.465,,0.25503761768341066,,0.5647753999999999,0.9346,0.5371428571428571,0.4278571428571429,0.6042857142857143,0.4957142857142857,0.4492947699416763,0.578,0.48093686560000004,0.5294684328
GIN,Guinea,2007,0.1499999999999999,1.0,0.6366666666666667,0.25,0.14,0.25,0.26571428571428574,0.00557,0.17325400000000002,0.35714285714285715,0.048133466,0.28440299989999995,0.1049,,0.2341256856918335,,0.07172402,0.4393,0.41000000000000003,0.39428571428571424,0.5428571428571428,0.4785714285714286,0.25931295536594345,0.269,0.2495750428,0.2592875214
HTI,Haiti,2007,0.040000000000000036,1.0,0.54,0.25,0.09000000000000008,0.25,0.23142857142857143,0.02797,,0.2942857142857143,0.162016488,0.5987997818,,,,,0.2558573,0.7673,0.2814285714285714,0.2864285714285714,0.41714285714285715,0.3157142857142857,0.3277214879595238,0.454,0.3955901742,0.4247950871
HND,Honduras,2007,0.45999999999999996,1.0,0.65,0.5,0.42000000000000004,0.5,0.4542857142857143,0.07359,,0.3757142857142857,0.666789436,0.50200634,0.329,0.075,0.08562049865722657,,0.4449067,0.8779,0.5485714285714286,0.39999999999999997,0.5428571428571428,0.4957142857142857,0.3958306635107247,0.524,0.47677858320000005,0.5003892916
HUN,Hungary,2007,0.5900000000000001,1.0,0.9116666666666667,0.75,0.6,0.75,0.5614285714285714,0.37162,0.6341319999999999,0.6471428571428571,0.978228856,0.7298564529,1.0,1.0,0.3699763774871826,0.56,0.8872414999999999,1.0,0.7300000000000001,0.4685714285714285,0.6128571428571429,0.45142857142857146,0.6876552348634847,0.856,0.7151821136000001,0.7855910568
ISL,Iceland,2007,0.75,1.0,1.0,1.0,0.79,1.0,0.7642857142857142,0.72099,0.9964459999999999,0.7757142857142857,1.0,0.8352963829,1.0,0.667,1.0,,0.8754932,1.0,0.8828571428571428,0.8207142857142857,0.6957142857142857,0.76,0.8621569560741071,0.88,0.7905267478,0.8352633738999999
IND,India,2007,0.58,0.8509318337128406,0.8133333333333335,0.25,0.45999999999999996,0.58,0.4928571428571429,0.0435,0.489556,0.4342857142857143,0.147025406,0.2918327332,0.1537,,0.29923396110534667,0.10400000000000001,0.20127520000000002,0.733,0.6928571428571428,0.5157142857142858,0.6642857142857144,0.5628571428571428,0.3737300276976556,0.735,0.6017449260000001,0.6683724630000001
IDN,Indonesia,2007,0.30999999999999994,0.9807132525901024,0.875,0.5,0.30000000000000004,0.5,0.39142857142857146,0.07015,0.44744,0.6014285714285714,0.20373973799999998,0.5045438004,0.20350000000000001,,0.1104079008102417,,0.4634626,0.8766,0.47000000000000003,0.44642857142857145,0.7057142857142857,0.5342857142857144,0.3964398533941374,0.718,0.5102038824,0.6141019412
IRN,"Iran, Islamic Rep.",2007,0.3999999999999999,0.9224877896201171,0.7550000000000001,0.25,0.13000000000000012,0.3999999999999999,0.5357142857142857,0.17466,0.6455719999999999,0.5428571428571428,0.403387166,0.46785140990000007,0.9251013649851721,,,,0.5582386,0.9975,0.5328571428571428,0.525,0.5928571428571429,0.45142857142857146,0.5912947279703307,0.184,0.21367797859999998,0.1988389893
IRQ,Iraq,2007,0.0,0.03488804881828844,,0.0,0.030000000000000027,0.015000000000000013,,0.01274,,,0.40753264400000005,0.6942038536,,,0.2965630292892456,,0.7313455000000001,0.9946,,,,,0.4307860070223114,0.444,0.29643290040000003,0.37021645020000005
IRL,Ireland,2007,0.85,1.0,0.9416666666666669,1.0,0.85,0.9416666666666669,0.5757142857142857,0.5217,0.6242,0.8214285714285714,1.0,0.8842876339,1.0,0.7040000000000001,,0.738,0.8298086000000001,1.0,0.8642857142857142,0.6749999999999999,0.7742857142857142,0.6242857142857143,0.7734372646187502,0.887,0.7839846612000001,0.8354923306
ISR,Israel,2007,0.2599999999999999,0.05659273366671291,0.8033333333333335,0.25,0.26,0.2599999999999999,0.687142857142857,0.60854,0.762008,0.687142857142857,0.8339806559999999,0.7333675575,1.0,0.8109999999999999,0.2,,0.883664,1.0,0.78,0.6357142857142858,0.7085714285714285,0.6257142857142857,0.6973028704866071,0.76,0.6571175576,0.7085587788000001
ITA,Italy,2007,0.8,1.0,0.7516666666666667,0.75,0.8200000000000001,0.8,0.5585714285714286,0.53891,0.645246,0.6228571428571429,1.0,0.7848384476,1.0,0.902,,,0.7517843999999999,1.0,0.6842857142857143,0.4407142857142857,0.5885714285714286,0.38571428571428573,0.7073923666653062,0.864,0.7288720129999999,0.7964360065
JAM,Jamaica,2007,0.3999999999999999,1.0,0.5416666666666667,0.5,0.45999999999999996,0.5,0.5057142857142857,0.29451,0.7289220000000001,0.3885714285714286,0.532852364,0.688447094,0.44400000000000006,,0.3024594783782959,,0.5955621,0.9941,0.6371428571428571,0.40857142857142864,0.6285714285714287,0.46714285714285714,0.5226891750294298,0.773,0.6371140242,0.7050570120999999
JPN,Japan,2007,0.6399999999999999,1.0,0.8766666666666667,1.0,0.65,0.8766666666666667,0.8542857142857143,0.62319,0.49114399999999997,0.7128571428571429,1.0,0.8448494244,1.0,,,,0.8847301000000001,1.0,0.8571428571428571,0.6578571428571429,0.71,0.6385714285714286,0.8053305578653063,0.845,0.7014424324,0.7732212162000001
JOR,Jordan,2007,0.30999999999999994,1.0,0.9933333333333334,0.5,0.38,0.5,0.6028571428571428,0.16933,0.7450559999999999,0.55,0.91286974,0.6395233154,1.0,,0.3546935796737671,,0.8557409,0.9982,0.7385714285714285,0.59,0.6614285714285714,0.59,0.6726852661002922,0.238,0.3832637548,0.3106318774
KAZ,Kazakhstan,2007,0.33999999999999997,1.0,0.7466666666666668,0.75,0.30000000000000004,0.7466666666666668,0.46,0.13062,,0.4985714285714286,0.358298468,0.672257576,0.6990000000000001,,0.3416161298751831,1.0,0.6958043,0.9997,0.5342857142857144,0.435,0.5957142857142858,0.5071428571428571,0.5703488867600561,0.242,0.2892050982,0.26560254910000003
